game_id,week,team,home_team_id,opponent,away_team_id,model_prediction_raw,model_prediction,opening_spread,cover_probability,edge,Market Total,total_bin_close
401856813,4,Baylor,239,Colorado,38,-5,-6,-6.5,0.47620822,-0.0476,52,2
401869931,4,Arkansas State,2032,Kennesaw State,338,-13,-7.5,-4.5,0.53307585,0.009266,54,2
401856702,4,LSU,99,Texas A&M,245,-10,-5.5,-3,0.51449298,-0.00932,53.5,2
401860894,4,Utah State,328,Troy,2653,-17,-7.5,-2.5,0.586709,0.062899,53,2
401856703,4,Mississippi State,344,Missouri,142,-5.5,-3,-1.5,0.52530947,0.0015,57.5,2
401856699,4,Florida,57,Ole Miss,145,-3.5,-2.5,-1.5,0.51674859,-0.00706,58.5,2
401869941,4,Coastal Carolina,324,Liberty,2335,10,2.5,-1.5,0.43138285,-0.09243,54,2
401858462,4,Maryland,120,UCLA,26,-2,0.5,1.5,0.51466042,-0.00915,56.5,2
401856881,4,West Virginia,277,Oklahoma State,197,-8.5,-1.5,2.5,0.56348623,0.039677,58.5,2
401856815,4,UCF,2116,TCU,2628,-4.5,0.5,3.5,0.56915192,0.045342,51,2
401869961,4,Old Dominion,295,James Madison,256,12,6.5,3.5,0.46655657,-0.05725,51,2
401856814,4,Cincinnati,2132,Kansas State,2306,3.5,5.5,6.5,0.52996228,0.006153,53,2
401856704,4,Tennessee,2633,Texas,251,6,6.5,6.5,0.51273233,-0.01108,57.5,2
401862778,4,UAB,5,Navy,2426,-5,5,10.5,0.62370634,0.099897,52,2
401860895,4,UTEP,2638,Oregon State,204,7,9.5,10.5,0.54700188,0.023192,56,2
401862780,4,Charlotte,2429,Louisiana,309,6,11,13.5,0.56317596,0.039366,51,2
401864579,4,New Mexico State,166,New Mexico,167,9.5,12,13.5,0.54568869,0.021879,50.5,2
401862782,4,Louisiana Monroe,2433,Florida Atlantic,2226,9,12,13.5,0.54568869,0.021879,58,2
401864512,4,Akron,2006,UNLV,2439,20,16,13.5,0.47496883,-0.04884,51,2
401858242,4,Boston College,103,Virginia Tech,259,5,11,14.5,0.58559044,0.061781,53,2
401862785,4,Bowling Green,189,South Florida,58,28,19.5,14.5,0.43549221,-0.08832,51,2
401856806,4,Georgia Southern,290,Houston,248,14.5,18.5,20.5,0.54317424,0.019365,54,2
401858467,4,Purdue,2509,Notre Dame,87,23,26,27.5,0.52886151,0.005052,56.5,2
401858469,4,Oregon,2483,USC,30,1,-3,-5.5,0.4464125,-0.0774,62.5,3
401856804,4,Arizona,12,Washington State,265,5,-6.5,-12.5,0.36255044,-0.16126,49,1
401856816,4,Utah,254,Iowa State,66,5,-5.5,-11.5,0.36054514,-0.16326,49.5,1
401860897,4,Boise State,68,Western Michigan,2711,-13,-9.5,-7.5,0.51479931,-0.00901,47.5,1
401866429,4,UMass,113,Sacramento State,16,-5,-6,-6.5,0.47994224,-0.04387,49,1
401858464,4,Nebraska,158,Michigan State,127,-13,-8,-5.5,0.539007,0.015197,49.5,1
401858240,4,Georgia Tech,59,Stanford,24,1,-3.5,-5.5,0.4495559,-0.07425,47,1
401864510,4,Hawai'i,62,Wyoming,2751,4,-2,-5.5,0.42013875,-0.10367,45.5,1
401864509,4,Air Force,2005,Nevada,2440,-2,-3.5,-4.5,0.46680289,-0.05701,49.5,1
401862779,4,Army,349,Temple,218,2,-1.5,-3.5,0.44589152,-0.07792,50,1
401858234,4,Clemson,228,California,25,1.5,-0.5,-1.5,0.48113179,-0.04268,48,1
401860893,4,San Diego State,21,Toledo,2649,6.5,1,-1.5,0.45149353,-0.07232,49,1
401861970,4,Connecticut,41,Miami (OH),193,-7.5,-0.5,3.5,0.59442156,0.070612,49,1
401866425,4,Ball State,2050,Kent State,2309,-7,0,4,0.58476595,0.060956,50,1
401858463,4,Iowa,2294,Michigan,130,1,3.5,4.5,0.53679526,0.012986,37.5,1
401858470,4,Minnesota,135,Washington,264,13.5,11,9.5,0.48743856,-0.03637,45.5,1
401856700,4,Oklahoma,201,Georgia,61,14.5,11.5,10,0.47735408,-0.04646,47.5,1
401858466,4,Wisconsin,275,Penn State,213,18.5,14,11.5,0.46674336,-0.05707,43.5,1
401860891,4,Rice,242,Fresno State,278,25.5,17,12.5,0.42278606,-0.10102,44.5,1
401858461,4,Northwestern,77,Indiana,84,19.5,22,23.5,0.53883805,0.015029,47.5,1
401858467,4,Notre Dame,87,Purdue,2509,-23,-26,-27.5,0.46606748,-0.05774,56.5,2
401856806,4,Houston,248,Georgia Southern,290,-14.5,-18.5,-20.5,0.45407572,-0.06973,54,2
401862785,4,South Florida,58,Bowling Green,189,-28,-19.5,-14.5,0.56943447,0.045625,51,2
401858242,4,Virginia Tech,259,Boston College,103,-5,-11,-14.5,0.42021075,-0.1036,53,2
401864512,4,UNLV,2439,Akron,2006,-20,-16,-13.5,0.52780884,0.003999,51,2
401864579,4,New Mexico,167,New Mexico State,166,-9.5,-12,-13.5,0.45743794,-0.06637,50.5,2
401862782,4,Florida Atlantic,2226,Louisiana Monroe,2433,-9,-12,-13.5,0.45743794,-0.06637,58,2
401862780,4,Louisiana,309,Charlotte,2429,-6,-11,-13.5,0.44001137,-0.0838,51,2
401860895,4,Oregon State,204,UTEP,2638,-7,-9.5,-10.5,0.45915358,-0.06466,56,2
401862778,4,Navy,2426,UAB,5,5,-5,-10.5,0.38235366,-0.14146,52,2
401856704,4,Texas,251,Tennessee,2633,-6,-6.5,-6.5,0.48483722,-0.03897,57.5,2
401856814,4,Kansas State,2306,Cincinnati,2132,-3.5,-5.5,-6.5,0.46759352,-0.05622,53,2
401869961,4,James Madison,256,Old Dominion,295,-12,-6.5,-3.5,0.53166507,0.007856,51,2
401856815,4,TCU,2628,UCF,2116,4.5,-0.5,-3.5,0.42899302,-0.09482,51,2
401856881,4,Oklahoma State,197,West Virginia,277,8.5,1.5,-2.5,0.43337019,-0.09044,58.5,2
401858462,4,UCLA,26,Maryland,120,2,-0.5,-1.5,0.48247401,-0.04134,56.5,2
401869941,4,Liberty,2335,Coastal Carolina,324,-10,-2.5,1.5,0.56574907,0.04194,54,2
401856699,4,Ole Miss,145,Florida,57,3.5,2.5,1.5,0.48039765,-0.04341,58.5,2
401856703,4,Missouri,142,Mississippi State,344,5.5,3,1.5,0.47184095,-0.05197,57.5,2
401860894,4,Troy,2653,Utah State,328,17,7.5,2.5,0.41023884,-0.11357,53,2
401856702,4,Texas A&M,245,LSU,99,10,5.5,3,0.44400493,-0.0798,53.5,2
401869931,4,Kennesaw State,338,Arkansas State,2032,13,7.5,4.5,0.46584605,-0.05796,54,2
401856813,4,Colorado,38,Baylor,239,5,6,6.5,0.5213544,-0.00246,52,2
401856698,4,Vanderbilt,238,Auburn,2,3.5,6.5,8.5,0.56574824,0.041939,52.5,2
401856697,4,Tulsa,202,Arkansas,8,6.5,8,8.5,0.53988739,0.016078,52,2
401871048,4,Middle Tennessee,2393,Jacksonville State,55,12.5,10,8.5,0.50508894,-0.01872,53,2
401864511,4,Northern Illinois,2459,Georgia State,2247,10,9.5,9.5,0.52674771,0.002938,55.5,2
401856696,4,South Carolina,2579,Alabama,333,17,13.5,11.5,0.49228083,-0.03153,52.5,2
401860896,4,Colorado State,36,UT San Antonio,2636,18,14,12,0.48345673,-0.04035,56,2
401858243,4,Wake Forest,154,Louisville,97,14.5,14,13.5,0.51041423,-0.0134,58.5,2
401864572,4,App State,2026,NC State,152,14.5,14,13.5,0.51041423,-0.0134,54,2
401862784,4,Southern Mississip,2572,Tulane,2655,25.5,20.5,17.5,0.46354801,-0.06026,54,2
401864576,4,South Alabama,6,Kentucky,96,14,17.5,19,0.53204489,0.008235,56,2
401858239,4,Delaware,48,Virginia,258,20,20.5,20.5,0.50740788,-0.0164,55.5,2
401858465,4,Illinois,356,Ohio State,194,23,26,27.5,0.52886151,0.005052,53.5,2
401858241,4,Missouri State,2623,SMU,2567,32,33.5,34.5,0.51796363,-0.00585,59.5,2
401856805,4,Sam Houston State,2534,Texas Tech,2641,39.5,39,38.5,0.49213201,-0.03168,55.5,2
401858238,4,Central Michigan,2117,Miami,2390,29,38,42.5,0.58343774,0.059628,54.5,2
